word	rank	english_layout	punctuation	trigger_letters	punctuation_count	in_auto_core_100k	zipf	score
это	12	'nj	'	э	1	1	6.73	0.818571
же	25	;t	;	ж	1	1	6.4	0.771429
был	30	,sk	,	б	1	1	6.35	0.764286
было	33	,skj	,	б	1	1	6.33	0.761429
уже	36	e;t	;	ж	1	1	6.31	0.758571
бы	38	,s	,	б	1	1	6.28	0.754286
их	40	b[	[	х	1	1	6.26	0.751429
будет	43	,eltn	,	б	1	1	6.23	0.747143
чтобы	47	xnj,s	,	б	1	1	6.2	0.742857
может	52	vj;tn	;	ж	1	1	6.17	0.738571
были	56	,skb	,	б	1	1	6.13	0.732857
была	58	,skf	,	б	1	1	6.12	0.731429
также	59	nfr;t	;	ж	1	1	6.12	0.731429
быть	63	,snm	,	б	1	1	6.08	0.725714
этом	66	'njv	'	э	1	1	6.08	0.725714
даже	70	lf;t	;	ж	1	1	6.04	0.72
можно	71	vj;yj	;	ж	1	1	6.04	0.72
этого	74	'njuj	'	э	1	1	6.02	0.717143
больше	75	,jkmit	,	б	1	1	6.01	0.715714
более	78	,jktt	,	б	1	1	5.99	0.712857
без	81	,tp	,	б	1	1	5.97	0.71
об	86	j,	,	б	1	1	5.96	0.708571
себя	90	ct,z	,	б	1	1	5.95	0.707143
этот	91	'njn	'	э	1	1	5.95	0.707143
всех	96	dct[	[	х	1	1	5.92	0.702857
тебя	98	nt,z	,	б	1	1	5.92	0.702857
них	105	yb[	[	х	1	1	5.86	0.694286
тоже	107	nj;t	;	ж	1	1	5.86	0.694286
области	108	j,kfcnb	,	б	1	1	5.85	0.692857
эти	113	'nb	'	э	1	1	5.82	0.688571
жизни	114	;bpyb	;	ж	1	1	5.81	0.687143
между	117	vt;le	;	ж	1	1	5.79	0.684286
этой	118	'njq	'	э	1	1	5.79	0.684286
нужно	121	ye;yj	;	ж	1	1	5.77	0.681429
себе	122	ct,t	,	б	1	1	5.77	0.681429
тебе	124	nt,t	,	б	1	1	5.77	0.681429
людей	127	k.ltq	.	ю	1	1	5.76	0.68
люди	131	k.lb	.	ю	1	1	5.75	0.678571
свою	135	cdj.	.	ю	1	1	5.74	0.677143
жизнь	136	;bpym	;	ж	1	1	5.73	0.675714
хочу	142	[jxe	[	х	1	1	5.73	0.675714
хорошо	148	[jhjij	[	х	1	1	5.71	0.672857
которых	149	rjnjhs[	[	х	1	1	5.7	0.671429
работы	160	hf,jns	,	б	1	1	5.66	0.665714
поэтому	164	gj'njve	'	э	1	1	5.65	0.664286
хотя	176	[jnz	[	х	1	1	5.62	0.66
вообще	179	djj,ot	,	б	1	1	5.61	0.658571
будут	180	,elen	,	б	1	1	5.6	0.657143
должны	181	ljk;ys	;	ж	1	1	5.6	0.657143
спасибо	183	cgfcb,j	,	б	1	1	5.6	0.657143
эта	184	'nf	'	э	1	1	5.6	0.657143
своих	188	cdjb[	[	х	1	1	5.59	0.655714
тех	190	nt[	[	х	1	1	5.58	0.654286
других	193	lheub[	[	х	1	1	5.57	0.652857
эту	197	'ne	'	э	1	1	5.57	0.652857
знаю	201	pyf.	.	ю	1	1	5.55	0.65
двух	204	lde[	[	х	1	1	5.54	0.648571
должен	206	ljk;ty	;	ж	1	1	5.54	0.648571
каждый	210	rf;lsq	;	ж	1	1	5.53	0.647143
нибудь	211	yb,elm	,	б	1	1	5.53	0.647143
этих	216	'nb[	'[	эх	2	1	5.53	0.647143
этим	221	'nbv	'	э	1	1	5.52	0.645714
либо	227	kb,j	,	б	1	1	5.5	0.642857
буду	231	,ele	,	б	1	1	5.49	0.641429
работу	237	hf,jne	,	б	1	1	5.49	0.641429
образом	252	j,hfpjv	,	б	1	1	5.46	0.637143
собой	262	cj,jq	,	б	1	1	5.45	0.635714
кажется	277	rf;tncz	;	ж	1	1	5.41	0.63
х	281	[	[	х	1	1	5.41	0.63
б	283	,	,	б	1	1	5.4	0.628571
большой	284	,jkmijq	,	б	1	1	5.4	0.628571
думаю	287	levf.	.	ю	1	1	5.4	0.628571
всю	290	dc.	.	ю	1	1	5.39	0.627143
должна	296	ljk;yf	;	ж	1	1	5.38	0.625714
таких	303	nfrb[	[	х	1	1	5.38	0.625714
сентября	314	ctynz,hz	,	б	1	1	5.37	0.624286
возможно	317	djpvj;yj	;	ж	1	1	5.36	0.622857
которую	320	rjnjhe.	.	ю	1	1	5.36	0.622857
этому	327	'njve	'	э	1	1	5.36	0.622857
проблемы	339	ghj,ktvs	,	б	1	1	5.34	0.62
рублей	341	he,ktq	,	б	1	1	5.34	0.62
быстро	350	,scnhj	,	б	1	1	5.33	0.618571
люблю	353	k.,k.	.,.	юбю	3	1	5.33	0.618571
работа	358	hf,jnf	,	б	1	1	5.33	0.618571
помощью	366	gjvjom.	.	ю	1	1	5.32	0.617143
уж	369	e;	;	ж	1	1	5.32	0.617143
хочет	370	[jxtn	[	х	1	1	5.32	0.617143
должно	382	ljk;yj	;	ж	1	1	5.3	0.614286
хоть	392	[jnm	[	х	1	1	5.3	0.614286
будем	393	,eltv	,	б	1	1	5.29	0.612857
жить	394	;bnm	;	ж	1	1	5.29	0.612857
новых	398	yjds[	[	х	1	1	5.29	0.612857
возможность	405	djpvj;yjcnm	;	ж	1	1	5.28	0.611429
ж	413	;	;	ж	1	1	5.27	0.61
ноября	415	yjz,hz	,	б	1	1	5.27	0.61
находится	421	yf[jlbncz	[	х	1	1	5.26	0.608571
работать	423	hf,jnfnm	,	б	1	1	5.26	0.608571
работе	424	hf,jnt	,	б	1	1	5.26	0.608571
будто	430	,elnj	,	б	1	1	5.25	0.607143
обычно	434	j,sxyj	,	б	1	1	5.25	0.607143
происходит	438	ghjbc[jlbn	[	х	1	1	5.25	0.607143
республики	439	htcge,kbrb	,	б	1	1	5.25	0.607143
декабря	442	ltrf,hz	,	б	1	1	5.24	0.605714
наших	446	yfib[	[	х	1	1	5.24	0.605714
особенно	448	jcj,tyyj	,	б	1	1	5.24	0.605714
полностью	449	gjkyjcnm.	.	ю	1	1	5.24	0.605714
женщина	456	;tyobyf	;	ж	1	1	5.23	0.604286
работает	461	hf,jnftn	,	б	1	1	5.23	0.604286
самых	463	cfvs[	[	х	1	1	5.23	0.604286
июня	477	b.yz	.	ю	1	1	5.21	0.601429
наиболее	478	yfb,jktt	,	б	1	1	5.21	0.601429
октября	481	jrnz,hz	,	б	1	1	5.21	0.601429
прежде	493	ght;lt	;	ж	1	1	5.2	0.6
сборной	494	c,jhyjq	,	б	1	1	5.2	0.6
благодаря	497	,kfujlfhz	,	б	1	1	5.19	0.598571
июля	501	b.kz	.	ю	1	1	5.19	0.598571
плохо	506	gkj[j	[	х	1	1	5.19	0.598571
движения	517	ldb;tybz	;	ж	1	1	5.18	0.597143
женщины	519	;tyobys	;	ж	1	1	5.18	0.597143
многих	522	vyjub[	[	х	1	1	5.18	0.597143
образования	524	j,hfpjdfybz	,	б	1	1	5.18	0.597143
первых	526	gthds[	[	х	1	1	5.18	0.597143
являются	532	zdkz.ncz	.	ю	1	1	5.18	0.597143
э	543	'	'	э	1	1	5.17	0.595714
важно	544	df;yj	;	ж	1	1	5.16	0.594286
любовь	550	k.,jdm	.,	юб	2	1	5.16	0.594286
понимаю	553	gjybvf.	.	ю	1	1	5.16	0.594286
безопасности	563	,tpjgfcyjcnb	,	б	1	1	5.15	0.592857
большое	564	,jkmijt	,	б	1	1	5.15	0.592857
надеюсь	568	yflt.cm	.	ю	1	1	5.15	0.592857
хотел	577	[jntk	[	х	1	1	5.15	0.592857
общества	582	j,otcndf	,	б	1	1	5.14	0.591429
сих	584	cb[	[	х	1	1	5.14	0.591429
тобой	587	nj,jq	,	б	1	1	5.14	0.591429
необходимо	601	ytj,[jlbvj	,[	бх	2	1	5.13	0.59
руб	604	he,	,	б	1	1	5.13	0.59
пожалуйста	610	gj;fkeqcnf	;	ж	1	1	5.12	0.588571
позже	611	gjp;t	;	ж	1	1	5.12	0.588571
женщин	624	;tyoby	;	ж	1	1	5.11	0.587143
любой	627	k.,jq	.,	юб	2	1	5.11	0.587143
нью	628	ym.	.	ю	1	1	5.11	0.587143
работ	632	hf,jn	,	б	1	1	5.11	0.587143
большая	635	,jkmifz	,	б	1	1	5.1	0.585714
возможности	636	djpvj;yjcnb	;	ж	1	1	5.1	0.585714
жителей	637	;bntktq	;	ж	1	1	5.1	0.585714
имеют	638	bvt.n	.	ю	1	1	5.1	0.585714
сможет	646	cvj;tn	;	ж	1	1	5.1	0.585714
некоторых	650	ytrjnjhs[	[	х	1	1	5.09	0.584286
первую	652	gthde.	.	ю	1	1	5.09	0.584286
победы	653	gj,tls	,	б	1	1	5.09	0.584286
разных	657	hfpys[	[	х	1	1	5.09	0.584286
ребенка	659	ht,tyrf	,	б	1	1	5.09	0.584286
ходе	663	[jlt	[	х	1	1	5.09	0.584286
хотят	664	[jnzn	[	х	1	1	5.09	0.584286
хочешь	665	[jxtim	[	х	1	1	5.09	0.584286
мужчина	678	ve;xbyf	;	ж	1	1	5.08	0.582857
никаких	679	ybrfrb[	[	х	1	1	5.08	0.582857
ночью	681	yjxm.	.	ю	1	1	5.08	0.582857
область	682	j,kfcnm	,	б	1	1	5.08	0.582857
различных	687	hfpkbxys[	[	х	1	1	5.08	0.582857
рождения	688	hj;ltybz	;	ж	1	1	5.08	0.582857
союза	689	cj.pf	.	ю	1	1	5.08	0.582857
большинство	694	,jkmibycndj	,	б	1	1	5.07	0.581429
данных	696	lfyys[	[	х	1	1	5.07	0.581429
жена	699	;tyf	;	ж	1	1	5.07	0.581429
клуб	704	rke,	,	б	1	1	5.07	0.581429
невозможно	706	ytdjpvj;yj	;	ж	1	1	5.07	0.581429
чтоб	717	xnj,	,	б	1	1	5.07	0.581429
неделю	730	ytltk.	.	ю	1	1	5.06	0.58
нужен	731	ye;ty	;	ж	1	1	5.06	0.58
проблем	735	ghj,ktv	,	б	1	1	5.06	0.58
целью	740	wtkm.	.	ю	1	1	5.06	0.58
ю	741	.	.	ю	1	1	5.06	0.58
бизнес	742	,bpytc	,	б	1	1	5.05	0.578571
людям	749	k.lzv	.	ю	1	1	5.05	0.578571
каждого	766	rf;ljuj	;	ж	1	1	5.04	0.577143
нескольких	769	ytcrjkmrb[	[	х	1	1	5.04	0.577143
проблема	771	ghj,ktvf	,	б	1	1	5.04	0.577143
рамках	772	hfvrf[	[	х	1	1	5.04	0.577143
движение	784	ldb;tybt	;	ж	1	1	5.03	0.575714
сюда	794	c.lf	.	ю	1	1	5.03	0.575714
хороший	795	[jhjibq	[	х	1	1	5.03	0.575714
любви	803	k.,db	.,	юб	2	1	5.02	0.574286
михаил	806	vb[fbk	[	х	1	0	5.02	0.574286
ниже	809	yb;t	;	ж	1	1	5.02	0.574286
историю	819	bcnjhb.	.	ю	1	1	5.01	0.572857
клуба	820	rke,f	,	б	1	1	5.01	0.572857
оба	823	j,f	,	б	1	1	5.01	0.572857
положение	827	gjkj;tybt	;	ж	1	1	5.01	0.572857
условиях	833	eckjdbz[	[	х	1	1	5.01	0.572857
брат	835	,hfn	,	б	1	1	5.0	0.571429
мужчины	843	ve;xbys	;	ж	1	1	5.0	0.571429
обязательно	847	j,zpfntkmyj	,	б	1	1	5.0	0.571429
россию	850	hjccb.	.	ю	1	0	5.0	0.571429
следующий	851	cktle.obq	.	ю	1	1	5.0	0.571429
службы	852	cke;,s	;,	жб	2	1	5.0	0.571429
такую	856	nfre.	.	ю	1	1	5.0	0.571429
трех	857	nht[	[	х	1	1	5.0	0.571429
бог	860	,ju	,	б	1	1	4.99	0.57
бывает	861	,sdftn	,	б	1	1	4.99	0.57
вижу	866	db;e	;	ж	1	1	4.99	0.57
мнению	869	vytyb.	.	ю	1	1	4.99	0.57
нужны	873	ye;ys	;	ж	1	1	4.99	0.57
нужна	884	ye;yf	;	ж	1	1	4.98	0.568571
помню	888	gjvy.	.	ю	1	1	4.98	0.568571
работал	892	hf,jnfk	,	б	1	1	4.98	0.568571
ребята	893	ht,znf	,	б	1	1	4.98	0.568571
военных	907	djtyys[	[	х	1	1	4.97	0.567143
выбор	910	ds,jh	,	б	1	1	4.97	0.567143
какую	915	rfre.	.	ю	1	1	4.97	0.567143
способ	924	cgjcj,	,	б	1	1	4.97	0.567143
каких	935	rfrb[	[	х	1	1	4.96	0.565714
можем	939	vj;tv	;	ж	1	1	4.96	0.565714
новую	940	yjde.	.	ю	1	1	4.96	0.565714
оружие	943	jhe;bt	;	ж	1	1	4.96	0.565714
людьми	966	k.lmvb	.	ю	1	1	4.95	0.564286
мужчин	967	ve;xby	;	ж	1	1	4.95	0.564286
общем	970	j,otv	,	б	1	1	4.95	0.564286
проходит	974	ghj[jlbn	[	х	1	1	4.95	0.564286
ждать	987	;lfnm	;	ж	1	1	4.94	0.562857
журнал	988	;ehyfk	;	ж	1	1	4.94	0.562857
однажды	990	jlyf;ls	;	ж	1	1	4.94	0.562857
сложно	1001	ckj;yj	;	ж	1	1	4.94	0.562857
события	1002	cj,snbz	,	б	1	1	4.94	0.562857
техники	1005	nt[ybrb	[	х	1	1	4.94	0.562857
включая	1011	drk.xfz	.	ю	1	1	4.93	0.561429
джон	1013	l;jy	;	ж	1	0	4.93	0.561429
любит	1018	k.,bn	.,	юб	2	1	4.93	0.561429
моих	1021	vjb[	[	х	1	1	4.93	0.561429
общество	1022	j,otcndj	,	б	1	1	4.93	0.561429
хотелось	1031	[jntkjcm	[	х	1	1	4.93	0.561429
хуже	1032	[e;t	[;	хж	2	1	4.93	0.561429
борьбе	1034	,jhm,t	,,	бб	2	1	4.92	0.56
лучших	1047	kexib[	[	х	1	1	4.92	0.56
можешь	1051	vj;tim	;	ж	1	1	4.92	0.56
мою	1052	vj.	.	ю	1	1	4.92	0.56
обороны	1053	j,jhjys	,	б	1	1	4.92	0.56
общей	1054	j,otq	,	б	1	1	4.92	0.56
руках	1061	herf[	[	х	1	1	4.92	0.56
странах	1067	cnhfyf[	[	х	1	1	4.92	0.56
экономики	1070	'rjyjvbrb	'	э	1	1	4.92	0.56
большую	1071	,jkmie.	,.	бю	2	1	4.91	0.558571
предложение	1083	ghtlkj;tybt	;	ж	1	1	4.91	0.558571
юго	1092	.uj	.	ю	1	1	4.91	0.558571
абсолютно	1093	f,cjk.nyj	,.	бю	2	1	4.9	0.557143
большие	1094	,jkmibt	,	б	1	1	4.9	0.557143
будешь	1095	,eltim	,	б	1	1	4.9	0.557143
делают	1101	ltkf.n	.	ю	1	1	4.9	0.557143
знают	1106	pyf.n	.	ю	1	1	4.9	0.557143
ибо	1107	b,j	,	б	1	1	4.9	0.557143
можете	1111	vj;tnt	;	ж	1	1	4.9	0.557143
петербурге	1116	gtnth,ehut	,	б	1	0	4.9	0.557143
победу	1117	gj,tle	,	б	1	1	4.9	0.557143
российских	1126	hjccbqcrb[	[	х	1	1	4.9	0.557143
хотите	1131	[jnbnt	[	х	1	1	4.9	0.557143
хочется	1132	[jxtncz	[	х	1	1	4.9	0.557143
большого	1133	,jkmijuj	,	б	1	1	4.89	0.555714
будущее	1134	,eleott	,	б	1	1	4.89	0.555714
говорю	1137	ujdjh.	.	ю	1	1	4.89	0.555714
интервью	1141	bynthdm.	.	ю	1	1	4.89	0.555714
муж	1145	ve;	;	ж	1	1	4.89	0.555714
союз	1153	cj.p	.	ю	1	1	4.89	0.555714
сравнению	1157	chfdytyb.	.	ю	1	1	4.89	0.555714
хотела	1163	[jntkf	[	х	1	1	4.89	0.555714
образование	1183	j,hfpjdfybt	,	б	1	1	4.88	0.554286
общего	1184	j,otuj	,	б	1	1	4.88	0.554286
похоже	1188	gj[j;t	[;	хж	2	1	4.88	0.554286
русских	1190	heccrb[	[	х	1	1	4.88	0.554286
сообщение	1191	cjj,otybt	,	б	1	1	4.88	0.554286
частью	1195	xfcnm.	.	ю	1	1	4.88	0.554286
борьбы	1197	,jhm,s	,,	бб	2	1	4.87	0.552857
бывший	1198	,sdibq	,	б	1	1	4.87	0.552857
выборы	1199	ds,jhs	,	б	1	1	4.87	0.552857
каждой	1205	rf;ljq	;	ж	1	1	4.87	0.552857
приходится	1214	ghb[jlbncz	[	х	1	1	4.87	0.552857
ребенок	1217	ht,tyjr	,	б	1	1	4.87	0.552857
боже	1227	,j;t	,;	бж	2	1	4.86	0.551429
выход	1233	ds[jl	[	х	1	1	4.86	0.551429
жаль	1234	;fkm	;	ж	1	1	4.86	0.551429
живет	1235	;bdtn	;	ж	1	1	4.86	0.551429
иностранных	1238	byjcnhfyys[	[	х	1	1	4.86	0.551429
кубка	1242	re,rf	,	б	1	1	4.86	0.551429
международного	1244	vt;leyfhjlyjuj	;	ж	1	1	4.86	0.551429
погиб	1247	gjub,	,	б	1	1	4.86	0.551429
экономика	1252	'rjyjvbrf	'	э	1	1	4.86	0.551429
будь	1253	,elm	,	б	1	1	4.85	0.55
жители	1260	;bntkb	;	ж	1	1	4.85	0.55
крупных	1262	rhegys[	[	х	1	1	4.85	0.55
находятся	1267	yf[jlzncz	[	х	1	1	4.85	0.55
революции	1274	htdjk.wbb	.	ю	1	1	4.85	0.55
событий	1277	cj,snbq	,	б	1	1	4.85	0.55
хватит	1278	[dfnbn	[	х	1	1	4.85	0.55
землю	1284	ptvk.	.	ю	1	1	4.84	0.548571
характер	1302	[fhfrnth	[	х	1	1	4.84	0.548571
хозяйства	1303	[jpzqcndf	[	х	1	1	4.84	0.548571
чувствую	1307	xedcnde.	.	ю	1	1	4.84	0.548571
бога	1311	,juf	,	б	1	1	4.83	0.547143
боюсь	1312	,j.cm	,.	бю	2	1	4.83	0.547143
быстрее	1313	,scnhtt	,	б	1	1	4.83	0.547143
доброе	1318	lj,hjt	,	б	1	1	4.83	0.547143
свободы	1334	cdj,jls	,	б	1	1	4.83	0.547143
сожалению	1337	cj;fktyb.	;.	жю	2	1	4.83	0.547143
хватает	1342	[dfnftn	[	х	1	1	4.83	0.547143
хотели	1343	[jntkb	[	х	1	1	4.83	0.547143
юрий	1344	.hbq	.	ю	1	0	4.83	0.547143
ждет	1351	;ltn	;	ж	1	1	4.82	0.545714
информацию	1354	byajhvfwb.	.	ю	1	1	4.82	0.545714
множество	1357	vyj;tcndj	;	ж	1	1	4.82	0.545714
обратно	1358	j,hfnyj	,	б	1	1	4.82	0.545714
объектов	1359	j,]trnjd	,]	бъ	2	1	4.82	0.545714
оружия	1362	jhe;bz	;	ж	1	1	4.82	0.545714
протяжении	1374	ghjnz;tybb	;	ж	1	1	4.82	0.545714
рабочих	1377	hf,jxb[	,[	бх	2	1	4.82	0.545714
считаю	1382	cxbnf.	.	ю	1	1	4.82	0.545714
тяжело	1383	nz;tkj	;	ж	1	1	4.82	0.545714
хорошая	1384	[jhjifz	[	х	1	1	4.82	0.545714
хорошие	1385	[jhjibt	[	х	1	1	4.82	0.545714
боль	1393	,jkm	,	б	1	1	4.81	0.544286
большим	1394	,jkmibv	,	б	1	1	4.81	0.544286
выходит	1396	ds[jlbn	[	х	1	1	4.81	0.544286
желание	1407	;tkfybt	;	ж	1	1	4.81	0.544286
отсюда	1419	jnc.lf	.	ю	1	1	4.81	0.544286
погибли	1422	gjub,kb	,	б	1	1	4.81	0.544286
поможет	1424	gjvj;tn	;	ж	1	1	4.81	0.544286
режим	1427	ht;bv	;	ж	1	1	4.81	0.544286
технологии	1435	nt[yjkjubb	[	х	1	1	4.81	0.544286
выборах	1440	ds,jhf[	,[	бх	2	1	4.8	0.542857
выхода	1441	ds[jlf	[	х	1	1	4.8	0.542857
годах	1442	ujlf[	[	х	1	1	4.8	0.542857
необходимости	1444	ytj,[jlbvjcnb	,[	бх	2	1	4.8	0.542857
образ	1445	j,hfp	,	б	1	1	4.8	0.542857
принадлежит	1451	ghbyflkt;bn	;	ж	1	1	4.8	0.542857
содержание	1455	cjlth;fybt	;	ж	1	1	4.8	0.542857
требует	1457	nht,etn	,	б	1	1	4.8	0.542857
бой	1461	,jq	,	б	1	1	4.79	0.541429
международный	1473	vt;leyfhjlysq	;	ж	1	1	4.79	0.541429
небольшой	1478	yt,jkmijq	,	б	1	1	4.79	0.541429
петербург	1480	gtnth,ehu	,	б	1	0	4.79	0.541429
последних	1482	gjcktlyb[	[	х	1	1	4.79	0.541429
предложил	1484	ghtlkj;bk	;	ж	1	1	4.79	0.541429
сборная	1487	c,jhyfz	,	б	1	1	4.79	0.541429
базе	1495	,fpt	,	б	1	1	4.78	0.54
банк	1496	,fyr	,	б	1	1	4.78	0.54
животных	1503	;bdjnys[	;[	жх	2	1	4.78	0.54
наоборот	1512	yfj,jhjn	,	б	1	1	4.78	0.54
особо	1514	jcj,j	,	б	1	1	4.78	0.54
поддержку	1517	gjllth;re	;	ж	1	1	4.78	0.54
экономического	1532	'rjyjvbxtcrjuj	'	э	1	1	4.78	0.54
великобритании	1533	dtkbrj,hbnfybb	,	б	1	0	4.77	0.538571
граждан	1535	uhf;lfy	;	ж	1	1	4.77	0.538571
местах	1546	vtcnf[	[	х	1	1	4.77	0.538571
местных	1547	vtcnys[	[	х	1	1	4.77	0.538571
обеспечения	1551	j,tcgtxtybz	,	б	1	1	4.77	0.538571
основных	1552	jcyjdys[	[	х	1	1	4.77	0.538571
убийства	1559	e,bqcndf	,	б	1	1	4.77	0.538571
ближе	1564	,kb;t	,;	бж	2	1	4.76	0.537143
внутренних	1567	dyenhtyyb[	[	х	1	1	4.76	0.537143
выборов	1568	ds,jhjd	,	б	1	1	4.76	0.537143
другую	1572	lheue.	.	ю	1	1	4.76	0.537143
любом	1581	k.,jv	.,	юб	2	1	4.76	0.537143
международной	1582	vt;leyfhjlyjq	;	ж	1	1	4.76	0.537143
называют	1586	yfpsdf.n	.	ю	1	1	4.76	0.537143
убийство	1602	e,bqcndj	,	б	1	1	4.76	0.537143
больно	1605	,jkmyj	,	б	1	1	4.75	0.535714
главных	1611	ukfdys[	[	х	1	1	4.75	0.535714
обе	1624	j,t	,	б	1	1	4.75	0.535714
песню	1626	gtcy.	.	ю	1	1	4.75	0.535714
следующие	1633	cktle.obt	.	ю	1	1	4.75	0.535714
стихи	1635	cnb[b	[	х	1	1	4.75	0.535714
считают	1639	cxbnf.n	.	ю	1	1	4.75	0.535714
белый	1645	,tksq	,	б	1	1	4.74	0.534286
брата	1646	,hfnf	,	б	1	1	4.74	0.534286
глазах	1651	ukfpf[	[	х	1	1	4.74	0.534286
должности	1655	ljk;yjcnb	;	ж	1	1	4.74	0.534286
должность	1656	ljk;yjcnm	;	ж	1	1	4.74	0.534286
жил	1660	;bk	;	ж	1	1	4.74	0.534286
исключительно	1665	bcrk.xbntkmyj	.	ю	1	1	4.74	0.534286
международных	1670	vt;leyfhjlys[	;[	жх	2	1	4.74	0.534286
мужа	1673	ve;f	;	ж	1	1	4.74	0.534286
общественного	1677	j,otcndtyyjuj	,	б	1	1	4.74	0.534286
политических	1681	gjkbnbxtcrb[	[	х	1	1	4.74	0.534286
сентябре	1690	ctynz,ht	,	б	1	1	4.74	0.534286
судьба	1693	celm,f	,	б	1	1	4.74	0.534286
экономической	1702	'rjyjvbxtcrjq	'	э	1	1	4.74	0.534286
замуж	1711	pfve;	;	ж	1	1	4.73	0.532857
молодых	1720	vjkjls[	[	х	1	1	4.73	0.532857
общий	1721	j,obq	,	б	1	1	4.73	0.532857
пожалуй	1722	gj;fkeq	;	ж	1	1	4.73	0.532857
скажу	1728	crf;e	;	ж	1	1	4.73	0.532857
службу	1729	cke;,e	;,	жб	2	1	4.73	0.532857
собирается	1731	cj,bhftncz	,	б	1	1	4.73	0.532857
сообщения	1733	cjj,otybz	,	б	1	1	4.73	0.532857
тихо	1736	nb[j	[	х	1	1	4.73	0.532857
футбол	1741	aen,jk	,	б	1	1	4.73	0.532857
южной	1743	.;yjq	.;	юж	2	1	4.73	0.532857
альбом	1745	fkm,jv	,	б	1	1	4.72	0.531429
государственных	1749	ujcelfhcndtyys[	[	х	1	1	4.72	0.531429
дважды	1750	ldf;ls	;	ж	1	1	4.72	0.531429
корабль	1756	rjhf,km	,	б	1	1	4.72	0.531429
обоих	1762	j,jb[	,[	бх	2	1	4.72	0.531429
оборудования	1763	j,jheljdfybz	,	б	1	1	4.72	0.531429
общая	1764	j,ofz	,	б	1	1	4.72	0.531429
предложения	1768	ghtlkj;tybz	;	ж	1	1	4.72	0.531429
прежнему	1769	ght;ytve	;	ж	1	1	4.72	0.531429
социальных	1774	cjwbfkmys[	[	х	1	1	4.72	0.531429
этими	1776	'nbvb	'	э	1	1	4.72	0.531429
банка	1778	,fyrf	,	б	1	1	4.71	0.53
больших	1779	,jkmib[	,[	бх	2	1	4.71	0.53
будущего	1780	,eleotuj	,	б	1	1	4.71	0.53
входит	1785	d[jlbn	[	х	1	1	4.71	0.53
жены	1791	;tys	;	ж	1	1	4.71	0.53
живут	1792	;bden	;	ж	1	1	4.71	0.53
журнала	1793	;ehyfkf	;	ж	1	1	4.71	0.53
каждом	1796	rf;ljv	;	ж	1	1	4.71	0.53
осенью	1807	jctym.	.	ю	1	1	4.71	0.53
победа	1813	gj,tlf	,	б	1	1	4.71	0.53
продажи	1817	ghjlf;b	;	ж	1	1	4.71	0.53
работают	1818	hf,jnf.n	,.	бю	2	1	4.71	0.53
работников	1819	hf,jnybrjd	,	б	1	1	4.71	0.53
случаях	1822	ckexfz[	[	х	1	1	4.71	0.53
ходить	1831	[jlbnm	[	х	1	1	4.71	0.53
ехать	1843	t[fnm	[	х	1	1	4.7	0.528571
ждут	1844	;len	;	ж	1	1	4.7	0.528571
женщину	1845	;tyobye	;	ж	1	1	4.7	0.528571
научных	1852	yfexys[	[	х	1	1	4.7	0.528571
объяснить	1854	j,]zcybnm	,]	бъ	2	1	4.7	0.528571
остальных	1856	jcnfkmys[	[	х	1	1	4.7	0.528571
петербурга	1859	gtnth,ehuf	,	б	1	0	4.7	0.528571
ребят	1871	ht,zn	,	б	1	1	4.7	0.528571
ход	1880	[jl	[	х	1	1	4.7	0.528571
хорошее	1881	[jhjitt	[	х	1	1	4.7	0.528571
болезни	1882	,jktpyb	,	б	1	1	4.69	0.527143
будущем	1883	,eleotv	,	б	1	1	4.69	0.527143
дают	1889	lf.n	.	ю	1	1	4.69	0.527143
неужели	1901	yte;tkb	;	ж	1	1	4.69	0.527143
обо	1902	j,j	,	б	1	1	4.69	0.527143
особенности	1905	jcj,tyyjcnb	,	б	1	1	4.69	0.527143
ох	1907	j[	[	х	1	1	4.69	0.527143
энергии	1923	'ythubb	'	э	1	1	4.69	0.527143
бывшего	1925	,sdituj	,	б	1	1	4.68	0.525714
жизнью	1932	;bpym.	;.	жю	2	1	4.68	0.525714
ключ	1935	rk.x	.	ю	1	1	4.68	0.525714
октябре	1944	jrnz,ht	,	б	1	1	4.68	0.525714
олимпийских	1945	jkbvgbqcrb[	[	х	1	1	4.68	0.525714
ошибки	1948	jib,rb	,	б	1	1	4.68	0.525714
приехал	1954	ghbt[fk	[	х	1	1	4.68	0.525714
сможешь	1958	cvj;tim	;	ж	1	1	4.68	0.525714
требования	1962	nht,jdfybz	,	б	1	1	4.68	0.525714
успех	1964	ecgt[	[	х	1	1	4.68	0.525714
хорошего	1965	[jhjituj	[	х	1	1	4.68	0.525714
хотим	1966	[jnbv	[	х	1	1	4.68	0.525714
эксплуатации	1967	'rcgkefnfwbb	'	э	1	1	4.68	0.525714
этап	1968	'nfg	'	э	1	1	4.68	0.525714
белоруссии	1971	,tkjheccbb	,	б	1	0	4.67	0.524286
верховного	1972	dth[jdyjuj	[	х	1	1	4.67	0.524286
воздуха	1973	djple[f	[	х	1	1	4.67	0.524286
добрый	1981	lj,hsq	,	б	1	1	4.67	0.524286
достижения	1982	ljcnb;tybz	;	ж	1	1	4.67	0.524286
неожиданно	1992	ytj;blfyyj	;	ж	1	1	4.67	0.524286
обучения	1993	j,extybz	,	б	1	1	4.67	0.524286
