word	rank	source_rank	zipf	score
подмосковье	4706	4792	4.32	0.474286
италия	4894	4984	4.3	0.471429
йорка	4895	4985	4.3	0.471429
китайский	4898	4988	4.3	0.471429
лавров	4901	4991	4.3	0.471429
лондона	4903	4993	4.3	0.471429
польша	4930	5020	4.3	0.471429
юнайтед	4978	5069	4.3	0.471429
харьков	5076	5168	4.29	0.47
валентина	5088	5181	4.28	0.468571
вадим	5202	5297	4.27	0.467143
вячеслав	5210	5305	4.27	0.467143
египта	5219	5314	4.27	0.467143
сербии	5276	5373	4.27	0.467143
бельгии	5310	5407	4.26	0.465714
венгрии	5316	5413	4.26	0.465714
виктора	5319	5416	4.26	0.465714
краснодар	5347	5447	4.26	0.465714
одессе	5370	5470	4.26	0.465714
сталина	5417	5517	4.26	0.465714
григорий	5454	5556	4.25	0.464286
марии	5476	5578	4.25	0.464286
петрович	5496	5598	4.25	0.464286
токио	5548	5650	4.25	0.464286
узбекистана	5551	5653	4.25	0.464286
уильям	5552	5654	4.25	0.464286
джонс	5592	5694	4.24	0.462857
донецк	5595	5697	4.24	0.462857
иванова	5603	5705	4.24	0.462857
ленинград	5615	5717	4.24	0.462857
манчестер	5620	5722	4.24	0.462857
светлана	5666	5770	4.24	0.462857
великобритания	5709	5814	4.23	0.461429
воронеж	5712	5817	4.23	0.461429
донбассе	5721	5826	4.23	0.461429
украиной	5814	5919	4.23	0.461429
берлине	5830	5939	4.22	0.46
василия	5833	5942	4.22	0.46
египте	5859	5968	4.22	0.46
перми	5903	6013	4.22	0.46
севастополь	5935	6045	4.22	0.46
челси	5965	6075	4.22	0.46
анастасия	5971	6085	4.21	0.458571
джейн	5986	6100	4.21	0.458571
екатеринбурге	5989	6103	4.21	0.458571
казахстане	5998	6112	4.21	0.458571
ларри	6008	6122	4.21	0.458571
новгород	6024	6138	4.21	0.458571
федор	6080	6196	4.21	0.458571
харькове	6083	6199	4.21	0.458571
челябинск	6085	6201	4.21	0.458571
африке	6088	6206	4.2	0.457143
гагарина	6103	6221	4.2	0.457143
германию	6104	6222	4.2	0.457143
египет	6114	6232	4.2	0.457143
игоря	6123	6241	4.2	0.457143
канада	6130	6248	4.2	0.457143
людмила	6141	6259	4.2	0.457143
мишель	6145	6263	4.2	0.457143
николаевич	6157	6275	4.2	0.457143
петербургского	6170	6288	4.2	0.457143
петров	6171	6289	4.2	0.457143
социал	6212	6330	4.2	0.457143
турция	6224	6343	4.2	0.457143
уильямс	6228	6347	4.2	0.457143
физико	6234	6353	4.2	0.457143
чарльз	6238	6357	4.2	0.457143
геннадий	6262	6381	4.19	0.455714
госдумы	6264	6383	4.19	0.455714
